model_id,z,mu_theory,H0_km_s_Mpc
open_matter,0.6155628141,42.57196008,70
flat_LCDM,0.6155628141,42.80652364,70
EdS,0.6215879397,42.37273304,70
open_matter,0.6215879397,42.59688352,70
flat_LCDM,0.6215879397,42.8322362,70
EdS,0.6276130653,42.3954503,70
open_matter,0.6276130653,42.62159054,70
flat_LCDM,0.6276130653,42.85771417,70
EdS,0.633638191,42.41795905,70
open_matter,0.633638191,42.64608509,70
flat_LCDM,0.633638191,42.88296176,70
EdS,0.6396633166,42.44026315,70
open_matter,0.6396633166,42.67037105,70
flat_LCDM,0.6396633166,42.90798303,70
EdS,0.6456884422,42.46236635,70
open_matter,0.6456884422,42.69445216,70
flat_LCDM,0.6456884422,42.93278195,70
EdS,0.6517135678,42.4842723,70
open_matter,0.6517135678,42.71833207,70
flat_LCDM,0.6517135678,42.95736239,70
EdS,0.6577386935,42.50598454,70
open_matter,0.6577386935,42.74201432,70
flat_LCDM,0.6577386935,42.98172811,70
EdS,0.6637638191,42.52750653,70
open_matter,0.6637638191,42.76550237,70
flat_LCDM,0.6637638191,43.00588275,70
EdS,0.6697889447,42.54884162,70
open_matter,0.6697889447,42.78879957,70
flat_LCDM,0.6697889447,43.02982989,70
EdS,0.6758140704,42.56999308,70
open_matter,0.6758140704,42.81190921,70
flat_LCDM,0.6758140704,43.05357301,70
EdS,0.681839196,42.5909641,70
open_matter,0.681839196,42.83483445,70
flat_LCDM,0.681839196,43.07711548,70
EdS,0.6878643216,42.61175777,70
open_matter,0.6878643216,42.85757842,70
flat_LCDM,0.6878643216,43.1004606,70
EdS,0.6938894472,42.63237712,70
open_matter,0.6938894472,42.88014412,70
flat_LCDM,0.6938894472,43.12361161,70
EdS,0.6999145729,42.65282508,70
open_matter,0.6999145729,42.9025345,70
flat_LCDM,0.6999145729,43.14657162,70
EdS,0.7059396985,42.67310453,70
open_matter,0.7059396985,42.92475243,70
flat_LCDM,0.7059396985,43.16934371,70
EdS,0.7119648241,42.69321825,70
open_matter,0.7119648241,42.94680071,70
flat_LCDM,0.7119648241,43.19193086,70
EdS,0.7179899497,42.71316898,70
open_matter,0.7179899497,42.96868208,70
flat_LCDM,0.7179899497,43.21433598,70
EdS,0.7240150754,42.73295936,70
open_matter,0.7240150754,42.99039918,70
flat_LCDM,0.7240150754,43.23656192,70
EdS,0.730040201,42.75259201,70
open_matter,0.730040201,43.01195462,70
flat_LCDM,0.730040201,43.25861147,70
EdS,0.7360653266,42.77206943,70
open_matter,0.7360653266,43.03335093,70
flat_LCDM,0.7360653266,43.28048732,70
EdS,0.7420904523,42.79139411,70
open_matter,0.7420904523,43.05459058,70
flat_LCDM,0.7420904523,43.30219213,70
EdS,0.7481155779,42.81056845,70
open_matter,0.7481155779,43.07567598,70
flat_LCDM,0.7481155779,43.32372849,70
EdS,0.7541407035,42.8295948,70
open_matter,0.7541407035,43.0966095,70
flat_LCDM,0.7541407035,43.34509894,70
EdS,0.7601658291,42.84847545,70
open_matter,0.7601658291,43.11739343,70
flat_LCDM,0.7601658291,43.36630593,70
EdS,0.7661909548,42.86721266,70
open_matter,0.7661909548,43.13803002,70
flat_LCDM,0.7661909548,43.38735188,70
EdS,0.7722160804,42.88580862,70
open_matter,0.7722160804,43.15852146,70
flat_LCDM,0.7722160804,43.40823917,70
EdS,0.778241206,42.90426545,70
open_matter,0.778241206,43.17886991,70
flat_LCDM,0.778241206,43.42897009,70
EdS,0.7842663317,42.92258526,70
open_matter,0.7842663317,43.19907745,70
flat_LCDM,0.7842663317,43.44954691,70
EdS,0.7902914573,42.94077009,70
open_matter,0.7902914573,43.21914613,70
flat_LCDM,0.7902914573,43.46997183,70
EdS,0.7963165829,42.95882193,70
open_matter,0.7963165829,43.23907797,70
flat_LCDM,0.7963165829,43.49024703,70
EdS,0.8023417085,42.97674275,70
open_matter,0.8023417085,43.25887491,70
flat_LCDM,0.8023417085,43.51037461,70
EdS,0.8083668342,42.99453444,70
open_matter,0.8083668342,43.27853888,70
flat_LCDM,0.8083668342,43.53035665,70
EdS,0.8143919598,43.01219888,70
open_matter,0.8143919598,43.29807175,70
flat_LCDM,0.8143919598,43.55019516,70
EdS,0.8204170854,43.0297379,70
open_matter,0.8204170854,43.31747535,70
flat_LCDM,0.8204170854,43.56989215,70
EdS,0.8264422111,43.04715328,70
open_matter,0.8264422111,43.33675147,70
flat_LCDM,0.8264422111,43.58944955,70
EdS,0.8324673367,43.06444678,70
open_matter,0.8324673367,43.35590187,70
flat_LCDM,0.8324673367,43.60886926,70
EdS,0.8384924623,43.0816201,70
open_matter,0.8384924623,43.37492828,70
flat_LCDM,0.8384924623,43.62815314,70
EdS,0.8445175879,43.09867492,70
open_matter,0.8445175879,43.39383236,70
flat_LCDM,0.8445175879,43.64730303,70
EdS,0.8505427136,43.11561289,70
open_matter,0.8505427136,43.41261577,70
flat_LCDM,0.8505427136,43.66632072,70
EdS,0.8565678392,43.1324356,70
open_matter,0.8565678392,43.43128013,70
flat_LCDM,0.8565678392,43.68520795,70
EdS,0.8625929648,43.14914464,70
open_matter,0.8625929648,43.449827,70
flat_LCDM,0.8625929648,43.70396644,70
EdS,0.8686180905,43.16574154,70
open_matter,0.8686180905,43.46825794,70
flat_LCDM,0.8686180905,43.72259789,70
EdS,0.8746432161,43.18222781,70
open_matter,0.8746432161,43.48657447,70
flat_LCDM,0.8746432161,43.74110393,70
EdS,0.8806683417,43.19860493,70
open_matter,0.8806683417,43.50477807,70
flat_LCDM,0.8806683417,43.7594862,70
EdS,0.8866934673,43.21487436,70
open_matter,0.8866934673,43.52287019,70
flat_LCDM,0.8866934673,43.77774627,70
EdS,0.892718593,43.2310375,70
open_matter,0.892718593,43.54085226,70
flat_LCDM,0.892718593,43.79588571,70
EdS,0.8987437186,43.24709576,70
open_matter,0.8987437186,43.55872569,70
flat_LCDM,0.8987437186,43.81390604,70
EdS,0.9047688442,43.26305049,70
open_matter,0.9047688442,43.57649184,70
flat_LCDM,0.9047688442,43.83180876,70
EdS,0.9107939698,43.27890304,70
open_matter,0.9107939698,43.59415205,70
flat_LCDM,0.9107939698,43.84959535,70
EdS,0.9168190955,43.29465471,70
open_matter,0.9168190955,43.61170765,70
flat_LCDM,0.9168190955,43.86726724,70
EdS,0.9228442211,43.31030679,70
open_matter,0.9228442211,43.62915993,70
flat_LCDM,0.9228442211,43.88482585,70
EdS,0.9288693467,43.32586054,70
open_matter,0.9288693467,43.64651016,70
flat_LCDM,0.9288693467,43.90227258,70
EdS,0.9348944724,43.34131721,70
open_matter,0.9348944724,43.66375958,70
flat_LCDM,0.9348944724,43.91960878,70
EdS,0.940919598,43.35667799,70
open_matter,0.940919598,43.68090941,70
flat_LCDM,0.940919598,43.93683579,70
EdS,0.9469447236,43.37194409,70
open_matter,0.9469447236,43.69796086,70
flat_LCDM,0.9469447236,43.95395494,70
EdS,0.9529698492,43.38711668,70
open_matter,0.9529698492,43.71491509,70
flat_LCDM,0.9529698492,43.97096751,70
EdS,0.9589949749,43.40219689,70
open_matter,0.9589949749,43.73177327,70
flat_LCDM,0.9589949749,43.98787478,70
EdS,0.9650201005,43.41718586,70
open_matter,0.9650201005,43.74853652,70
flat_LCDM,0.9650201005,44.00467798,70
EdS,0.9710452261,43.4320847,70
open_matter,0.9710452261,43.76520596,70
flat_LCDM,0.9710452261,44.02137834,70
EdS,0.9770703518,43.44689447,70
open_matter,0.9770703518,43.78178268,70
flat_LCDM,0.9770703518,44.03797707,70
EdS,0.9830954774,43.46161626,70
open_matter,0.9830954774,43.79826776,70
flat_LCDM,0.9830954774,44.05447535,70
EdS,0.989120603,43.4762511,70
open_matter,0.989120603,43.81466224,70
flat_LCDM,0.989120603,44.07087434,70
EdS,0.9951457286,43.49080003,70
open_matter,0.9951457286,43.83096717,70
flat_LCDM,0.9951457286,44.08717517,70
EdS,1.001170854,43.50526405,70
open_matter,1.001170854,43.84718356,70
flat_LCDM,1.001170854,44.10337898,70
EdS,1.00719598,43.51964416,70
open_matter,1.00719598,43.8633124,70
flat_LCDM,1.00719598,44.11948686,70
EdS,1.013221106,43.53394132,70
open_matter,1.013221106,43.87935469,70
flat_LCDM,1.013221106,44.1354999,70
EdS,1.019246231,43.54815649,70
open_matter,1.019246231,43.89531138,70
flat_LCDM,1.019246231,44.15141916,70
EdS,1.025271357,43.56229062,70
open_matter,1.025271357,43.91118343,70
flat_LCDM,1.025271357,44.1672457,70
EdS,1.031296482,43.57634463,70
open_matter,1.031296482,43.92697176,70
flat_LCDM,1.031296482,44.18298054,70
EdS,1.037321608,43.59031942,70
open_matter,1.037321608,43.94267729,70
flat_LCDM,1.037321608,44.1986247,70
EdS,1.043346734,43.60421589,70
open_matter,1.043346734,43.95830093,70
flat_LCDM,1.043346734,44.21417917,70
EdS,1.049371859,43.61803491,70
open_matter,1.049371859,43.97384355,70
flat_LCDM,1.049371859,44.22964493,70
EdS,1.055396985,43.63177736,70
open_matter,1.055396985,43.98930603,70
flat_LCDM,1.055396985,44.24502296,70
EdS,1.061422111,43.64544406,70
open_matter,1.061422111,44.00468922,70
flat_LCDM,1.061422111,44.26031419,70
EdS,1.067447236,43.65903587,70
open_matter,1.067447236,44.01999397,70
flat_LCDM,1.067447236,44.27551956,70
EdS,1.073472362,43.67255359,70
open_matter,1.073472362,44.03522111,70
flat_LCDM,1.073472362,44.29064,70
EdS,1.079497487,43.68599804,70
open_matter,1.079497487,44.05037144,70
flat_LCDM,1.079497487,44.30567641,70
EdS,1.085522613,43.69937001,70
open_matter,1.085522613,44.06544577,70
flat_LCDM,1.085522613,44.32062967,70
EdS,1.091547739,43.71267028,70
open_matter,1.091547739,44.0804449,70
flat_LCDM,1.091547739,44.33550066,70
EdS,1.097572864,43.72589961,70
open_matter,1.097572864,44.09536959,70
